,karate (kappa = 1),Phylo Tree (kappa = 0.14),wordnet (kappa = 2.06),CS phd (kappa = 0.55)
bhmds,0.1779946,0.04132572,0.07979655,0.1465883
hydraPlus,0.1727197,0.0412888,0.08073699,0.1471229
hydra,0.2105163,0.2091482,0.1279283,0.202936
bmds,0.2050099,0.1601308,0.2722032,0.2280578
smacof,0.2111508,0.1593837,0.2724846,0.23509
cmds ,0.2850282,0.2481243,0.4927872,0.3861514
isoMds,0.2850282,0.2481243,0.4927872,0.3861514
,,,,
bhmds,0.3484787,0.1213903,0.1441145,0.2869276
hydraPlus,0.3287364,0.120554,0.1459867,0.286785
hydra,0.4278163,0.6802584,0.2241746,0.4545296
bmds,0.3985566,0.3551703,0.4993934,0.4523498
smacof,0.3742695,0.35164,0.4967225,0.4510025
cmds ,0.5234087,0.5917984,0.9669755,0.7513145
isoMds,0.5234087,0.5917984,0.9669755,0.7513145
